"","Age","BLK","TRB","PT","FG.","MP"
"1",19,68.4,406.5,8.737,0.4706,1638.9
"2",20,62.2413793103448,439.379310344828,10.5913793103448,0.462172413793103,1788.65517241379
"3",21,61.14,453.6,11.0304,0.47188,1842.34
"4",22,61.719298245614,483.473684210526,11.4759649122807,0.465508771929825,1994.12280701754
"5",23,56.5443037974684,444.101265822785,11.2715189873418,0.477582278481013,1862.17721518987
"6",24,55.3855421686747,469.156626506024,11.8059036144578,0.479867469879518,1953.6265060241
"7",25,56.9555555555556,472.022222222222,11.805,0.479711111111111,1932.27777777778
"8",26,51.7755102040816,449.826530612245,12.5374489795918,0.475663265306122,1936.90816326531
"9",27,49.4468085106383,445.521276595745,12.2706382978723,0.478765957446808,1886.26595744681
"10",28,42.125,436.886363636364,11.8064772727273,0.469875,1874.27272727273
"11",29,48.2567567567568,450.189189189189,11.6383783783784,0.471040540540541,1923.09459459459
"12",30,48.0740740740741,446.481481481481,11.2127777777778,0.473074074074074,1994.44444444444
"13",31,39.5666666666667,397.066666666667,11.0701666666667,0.462533333333333,1827.53333333333
"14",32,39.9111111111111,450.044444444444,10.1777777777778,0.470777777777778,1797.93333333333
"15",33,37.6774193548387,408.161290322581,10.0206451612903,0.479096774193548,1756.8064516129
"16",34,41.5714285714286,409.392857142857,9.69071428571429,0.459607142857143,1755.35714285714
"17",35,46.3684210526316,436,9.10947368421053,0.454473684210526,1872.05263157895
"18",36,45.6,439.9,9.695,0.4509,1980.8
"19",37,41.1111111111111,413.444444444444,10.0933333333333,0.423111111111111,1930.66666666667
"20",38,29.375,326.375,8.49875,0.428375,1549
"21",39,29.6666666666667,354.333333333333,10.4133333333333,0.423333333333333,1932.66666666667
"22",40,20,367,13.19,0.483,1373
