,국가,방문자 수
0,China,6236504
1,Japan,3695581
2,Taiwan,1424629
3,USA,1170719
4,Hong Kong,783159
5,Thailand,644523
6,Vietnam,624921
7,Phillipines,560570
8,Malaysia,455722
9,Russia,400628
10,Indonesia,319442
11,Singapore,263056
12,Canada,231090
13,Overseas Korean,211216
14,Austrailia,194998
15,India,160252
16,UK,159830
17,Germany,135174
18,Mongolia,133611
19,France,123393
20,Uzbekistan,102088
21,Myanmar,86977
22,Asia others,84892
23,Kazakhstan,61077
24,Macao,58329
25,Africa others,54320
26,Italy,54245
27,Europe others,52069
28,Cambodia,50289
29,America others,47597
30,New Zealand,44792
31,Netherland,44743
32,*GCC,38103
33,Turkey,35553
34,Mexico,34580
35,Spain,33570
36,Ukraine,31986
37,Brazil,27120
38,Poland,27082
39,Sweden,21429
40,Sri Lanka,21427
41,Bangladesh,20824
42,Swiss,19313
43,Israel,18346
44,Pakistan,16313
45,Belgium,16029
46,Finland,15756
47,South Africa,15679
48,Denmark,14899
49,Romania,14363
50,Austria,14092
51,Norway,12886
52,Portugal,12531
53,Ireland,11519
54,Greece,11317
55,Bulgaria,7228
56,Croatia,6821
57,Oceania others,6168
58,Iran,4677
59,Stateless,727
