,년_월,국가,방문자_수
0,19-01,Japan,206526
1,19-01,Taiwan,87954
2,19-01,Hong Kong,35896
3,19-01,Phillipines,30473
4,19-01,Thailand,41334
5,19-01,Vietnam,20183
6,19-01,Malaysia,22065
7,19-01,Singapore,9855
8,19-01,USA,62737
9,19-02,China,453379
10,19-02,Japan,213200
11,19-02,Taiwan,94559
12,19-02,Hong Kong,51312
13,19-02,Phillipines,29294
14,19-02,Thailand,39220
15,19-02,Vietnam,42181
16,19-02,Malaysia,27484
17,19-02,Singapore,9792
18,19-02,USA,57732
19,19-03,China,487623
20,19-03,Japan,375119
21,19-03,Taiwan,98510
22,19-03,Hong Kong,46068
23,19-03,Phillipines,38701
24,19-03,Thailand,53100
25,19-03,Vietnam,46991
26,19-03,Malaysia,40789
27,19-03,Singapore,22105
28,19-03,USA,84275
29,19-04,China,493250
30,19-04,Japan,290092
31,19-04,Taiwan,113072
32,19-04,Hong Kong,76104
33,19-04,Phillipines,66525
34,19-04,Thailand,69726
35,19-04,Vietnam,63169
36,19-04,Malaysia,43726
37,19-04,Singapore,23307
38,19-04,USA,102524
39,19-05,China,500413
40,19-05,Japan,286273
41,19-05,Taiwan,101779
42,19-05,Hong Kong,57026
43,19-05,Phillipines,50569
44,19-05,Thailand,52660
45,19-05,Vietnam,44416
46,19-05,Malaysia,31217
47,19-05,Singapore,20114
48,19-05,USA,95815
49,19-06,China,475007
50,19-06,Japan,282476
51,19-06,Taiwan,118437
52,19-06,Hong Kong,61728
53,19-06,Phillipines,40748
54,19-06,Thailand,37684
55,19-06,Vietnam,58339
56,19-06,Malaysia,25538
57,19-06,Singapore,24743
58,19-06,USA,105398
59,19-07,China,519132
60,19-07,Japan,274830
61,19-07,Taiwan,113587
62,19-07,Hong Kong,59036
63,19-07,Phillipines,29074
64,19-07,Thailand,37278
65,19-07,Vietnam,52521
66,19-07,Malaysia,16831
67,19-07,Singapore,10992
68,19-07,USA,97428
69,19-08,China,578112
70,19-08,Japan,329652
71,19-08,Taiwan,109273
72,19-08,Hong Kong,65958
73,19-08,Phillipines,41817
74,19-08,Thailand,32830
75,19-08,Vietnam,43583
76,19-08,Malaysia,20520
77,19-08,Singapore,13008
78,19-08,USA,86586
79,19-09,China,541350
80,19-09,Japan,251119
81,19-09,Taiwan,102758
82,19-09,Hong Kong,45911
83,19-09,Phillipines,36252
84,19-09,Thailand,36052
85,19-09,Vietnam,43617
86,19-09,Malaysia,28020
87,19-09,Singapore,17745
88,19-09,USA,90819
89,19-10,China,567695
90,19-10,Japan,248541
91,19-10,Taiwan,127944
92,19-10,Hong Kong,65544
93,19-10,Phillipines,55394
94,19-10,Thailand,65878
95,19-10,Vietnam,64820
96,19-10,Malaysia,45354
97,19-10,Singapore,24719
98,19-10,USA,101099
99,19-11,China,505369
100,19-11,Japan,258522
101,19-11,Taiwan,102241
102,19-11,Hong Kong,58600
103,19-11,Phillipines,41739
104,19-11,Thailand,49998
105,19-11,Vietnam,43190
106,19-11,Malaysia,49282
107,19-11,Singapore,27546
108,19-11,USA,82238
109,19-12,China,508877
110,19-12,Japan,255356
111,19-12,Taiwan,90379
112,19-12,Hong Kong,71751
113,19-12,Phillipines,43281
114,19-12,Thailand,55850
115,19-12,Vietnam,30721
116,19-12,Malaysia,57764
117,19-12,Singapore,42216
118,19-12,USA,77387
119,20-01,China,481681
120,20-01,Japan,203969
121,20-01,Taiwan,110354
122,20-01,Hong Kong,66962
123,20-01,Phillipines,30702
124,20-01,Thailand,38466
125,20-01,Vietnam,30232
126,20-01,Malaysia,27549
127,20-01,Singapore,10738
128,20-01,USA,67255
129,20-02,China,104086
130,20-02,Japan,211199
131,20-02,Taiwan,53042
132,20-02,Hong Kong,20966
133,20-02,Phillipines,20332
134,20-02,Thailand,31777
135,20-02,Vietnam,30313
136,20-02,Malaysia,18541
137,20-02,Singapore,5909
138,20-02,USA,42439
139,20-03,China,16595
140,20-03,Japan,8347
141,20-03,Taiwan,585
142,20-03,Hong Kong,262
143,20-03,Phillipines,4539
144,20-03,Thailand,2371
145,20-03,Vietnam,4048
146,20-03,Malaysia,890
147,20-03,Singapore,219
148,20-03,USA,10570
149,20-04,China,3935
150,20-04,Japan,360
151,20-04,Taiwan,155
152,20-04,Hong Kong,35
153,20-04,Phillipines,1130
154,20-04,Thailand,299
155,20-04,Vietnam,6597
156,20-04,Malaysia,152
157,20-04,Singapore,48
158,20-04,USA,6417
