68~69,1969,Wes Unseld*,C,22,BAL,82,145,0.476,,0.476,0.605,1491,213,,,,276,1131,13.79
69~70,1969,Willis Reed*,C,26,NYK,82,197,0.521,,0.521,0.747,1191,190,,,,314,1733,21.13
70~71,1970,Kareem Abdul-Jabbar*,C,22,MIL,82,232,0.518,,0.518,0.653,1190,337,,,,283,2361,28.79
71~72,1971,Kareem Abdul-Jabbar*,C,23,MIL,82,1290,0.577,,0.577,0.69,1311,272,,,,264,2596,31.66
72~73,,데이브코웬스,,,,,,,,,,,,,,,,,
73~74,1973,Kareem Abdul-Jabbar*,C,25,MIL,76,25,0.554,,0.554,0.713,1224,379,,,,208,2292,30.16
74~75,1974,Bob McAdoo*,C,22,BUF,74,57,0.547,,0.547,0.793,1117,170,88,246,,252,2261,30.55
75~76,1975,Kareem Abdul-Jabbar*,C,27,MIL,65,2198,0.513,,0.513,0.763,912,264,65,212,,205,1949,29.98
76~77,1976,Kareem Abdul-Jabbar*,C,28,LAL,82,421,0.529,,0.529,0.703,1383,413,119,338,,292,2275,27.74
77~78,,,,,,,,,,,,,,,,,,,
