"","Age","3P%","2P%","FT%","PT","MP"
"1",19,0.31725,0.42675,0.803125,13.2025,1969
"2",20,0.311368421052632,0.454578947368421,0.761052631578947,10.6847368421053,1793.89473684211
"3",21,0.315953488372093,0.470186046511628,0.771255813953488,12.0211627906977,1893.39534883721
"4",22,0.329967213114754,0.471245901639344,0.775032786885246,11.7859016393443,1834.04918032787
"5",23,0.345247422680412,0.461463917525773,0.772309278350515,11.9071134020619,1861.73195876289
"6",24,0.338784482758621,0.461551724137931,0.786758620689655,12.4989655172414,1956.53448275862
"7",25,0.34351,0.46066,0.79999,13.6086,2001.53
"8",26,0.351375,0.461221153846154,0.788182692307692,13.1706730769231,1893.07692307692
"9",27,0.349759493670886,0.464189873417721,0.80779746835443,13.3939240506329,2081.3417721519
"10",28,0.367505747126437,0.468632183908046,0.808666666666667,13.1640229885057,1971.68965517241
"11",29,0.361134146341463,0.465207317073171,0.805439024390244,12.3034146341463,1866.80487804878
"12",30,0.3532,0.465573333333333,0.807386666666667,12.6077333333333,2007.54666666667
"13",31,0.341323529411765,0.454,0.793838235294118,11.4811764705882,1829.22058823529
"14",32,0.372509090909091,0.464854545454545,0.796818181818182,11.0161818181818,1843.78181818182
"15",33,0.327147058823529,0.457647058823529,0.808058823529412,10.8232352941176,1789.82352941176
"16",34,0.342567567567568,0.447621621621622,0.817540540540541,10.7562162162162,1784.75675675676
"17",35,0.354380952380952,0.462809523809524,0.822571428571429,10.5942857142857,1763.7619047619
"18",36,0.387875,0.45575,0.84125,12.5925,1704.625
"19",37,0.38725,0.472875,0.81725,9.27625,1736.25
"20",38,0.364,0.4788,0.842,8.17,1534.6
"21",39,0.370833333333333,0.438,0.834333333333333,7.37666666666667,1539.5
